10721	1
10722	2
10730	4
10746	2
10747	12
10748	2
10752	3
10763	2
10773	1
10785	1
10787	1
10792	1
10794	1
10821	2
10822	4
10823	1
10826	4
10828	1
10830	1
10835	2
10836	1
10838	3
10843	1
10851	2
10853	4
10854	1
10857	1
10865	1
10871	1
10884	2
10893	1
10901	3
10905	1
10950	1
10958	5
10959	1
10960	1
10975	1
10993	2
11006	1
11011	1
11015	2
11019	1
11031	2
11032	1
11036	1
11042	1
11052	1
11054	2
11056	1
11079	1
11088	1
11094	1
11097	1
11103	3
11104	1
11105	1
11108	3
11112	3
11118	1
11119	1
11127	1
11129	2
11130	1
11132	1
11133	4
11136	5
11147	1
11153	1
11159	1
11160	1
11161	1
11162	2
11166	1
11168	2
11172	1
11176	1
11178	2
11179	1
11181	2
11185	1
11191	2
11197	2
11201	2
11203	1
